root - INFO - add: {'_id': None, 'name': 'name0', 'city': 'city0', 'place_type': <PlaceType.RESTAURANT: 0>, 'place': {'menu': '', 'mid_price': None, 'business_lunch': False, 'business_lunch_price': None, 'kitchen': None}, 'address': 'address0', 'coordinates': (0, 0), 'photos': None, 'telephone': '0', 'url': None, 'work_interval': '', 'description': None, 'last_modify_id': 0}
root - INFO - add: {'_id': None, 'name': 'name1', 'city': 'city1', 'place_type': <PlaceType.RESTAURANT: 0>, 'place': {'menu': '', 'mid_price': None, 'business_lunch': False, 'business_lunch_price': None, 'kitchen': None}, 'address': 'address1', 'coordinates': (1, 1), 'photos': None, 'telephone': '1', 'url': None, 'work_interval': '', 'description': None, 'last_modify_id': 0}
root - INFO - add: {'_id': None, 'name': 'name2', 'city': 'city2', 'place_type': <PlaceType.RESTAURANT: 0>, 'place': {'menu': '', 'mid_price': None, 'business_lunch': False, 'business_lunch_price': None, 'kitchen': None}, 'address': 'address2', 'coordinates': (2, 2), 'photos': None, 'telephone': '2', 'url': None, 'work_interval': '', 'description': None, 'last_modify_id': 0}
root - INFO - add: {'_id': None, 'name': 'name3', 'city': 'city3', 'place_type': <PlaceType.RESTAURANT: 0>, 'place': {'menu': '', 'mid_price': None, 'business_lunch': False, 'business_lunch_price': None, 'kitchen': None}, 'address': 'address3', 'coordinates': (3, 3), 'photos': None, 'telephone': '3', 'url': None, 'work_interval': '', 'description': None, 'last_modify_id': 0}
root - INFO - add: {'_id': None, 'name': 'name4', 'city': 'city4', 'place_type': <PlaceType.RESTAURANT: 0>, 'place': {'menu': '', 'mid_price': None, 'business_lunch': False, 'business_lunch_price': None, 'kitchen': None}, 'address': 'address4', 'coordinates': (4, 4), 'photos': None, 'telephone': '4', 'url': None, 'work_interval': '', 'description': None, 'last_modify_id': 0}
root - INFO - add: {'_id': None, 'name': 'name5', 'city': 'city5', 'place_type': <PlaceType.RESTAURANT: 0>, 'place': {'menu': '', 'mid_price': None, 'business_lunch': False, 'business_lunch_price': None, 'kitchen': None}, 'address': 'address5', 'coordinates': (5, 5), 'photos': None, 'telephone': '5', 'url': None, 'work_interval': '', 'description': None, 'last_modify_id': 0}
root - INFO - add: {'_id': None, 'name': 'name6', 'city': 'city6', 'place_type': <PlaceType.RESTAURANT: 0>, 'place': {'menu': '', 'mid_price': None, 'business_lunch': False, 'business_lunch_price': None, 'kitchen': None}, 'address': 'address6', 'coordinates': (6, 6), 'photos': None, 'telephone': '6', 'url': None, 'work_interval': '', 'description': None, 'last_modify_id': 0}
root - INFO - add: {'_id': None, 'name': 'name7', 'city': 'city7', 'place_type': <PlaceType.RESTAURANT: 0>, 'place': {'menu': '', 'mid_price': None, 'business_lunch': False, 'business_lunch_price': None, 'kitchen': None}, 'address': 'address7', 'coordinates': (7, 7), 'photos': None, 'telephone': '7', 'url': None, 'work_interval': '', 'description': None, 'last_modify_id': 0}
root - INFO - add: {'_id': None, 'name': 'name8', 'city': 'city8', 'place_type': <PlaceType.RESTAURANT: 0>, 'place': {'menu': '', 'mid_price': None, 'business_lunch': False, 'business_lunch_price': None, 'kitchen': None}, 'address': 'address8', 'coordinates': (8, 8), 'photos': None, 'telephone': '8', 'url': None, 'work_interval': '', 'description': None, 'last_modify_id': 0}
root - INFO - add: {'_id': None, 'name': 'name9', 'city': 'city9', 'place_type': <PlaceType.RESTAURANT: 0>, 'place': {'menu': '', 'mid_price': None, 'business_lunch': False, 'business_lunch_price': None, 'kitchen': None}, 'address': 'address9', 'coordinates': (9, 9), 'photos': None, 'telephone': '9', 'url': None, 'work_interval': '', 'description': None, 'last_modify_id': 0}
root - INFO - add: {'_id': None, 'name': 'name10', 'city': 'city10', 'place_type': <PlaceType.RESTAURANT: 0>, 'place': {'menu': '', 'mid_price': None, 'business_lunch': False, 'business_lunch_price': None, 'kitchen': None}, 'address': 'address10', 'coordinates': (10, 10), 'photos': None, 'telephone': '10', 'url': None, 'work_interval': '', 'description': None, 'last_modify_id': 0}
